item_id,developer,anios
70,Valve,1998
2400,Outerlight Ltd.,2006
3800,GlyphX Games,2005
1520,Introversion Software,2006
2420,Outerlight Ltd.,2006
4000,Facepunch Studios,2006
2990,Bugbear Entertainment,2006
6220,Bugbear Entertainment,2005
6310,Funcom,2000
7600,"Firaxis Games,Feral Interactive (Mac)",2006
8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
6550,"CAPCOM Co., Ltd.",2006
2570,Freegamer,2007
2280,id Software,1995
9160,id Software,1995
2300,id Software,1994
2270,id Software,1994
9010,Gray Matter Studios,2001
2310,id Software,2007
7670,"2K Boston,2K Australia",2007
4570,Relic Entertainment,2006
4580,Relic Entertainment,2006
4760,The Creative Assembly,2004
12130,Rockstar North,2004
12150,Remedy Entertainment,2003
7000,Crystal Dynamics,2006
12140,Remedy Entertainment,2001
17480,EA Los Angeles,2008
12500,Infinite Interactive,2007
9730,Desconocido,2006
2700,"Frontier,Aspyr (Mac)",2006
13250,"Epic Games, Inc.",1998
13560,Ubisoft,2003
13520,Crytek Studios,2004
15200,Ubisoft Romania,2007
15320,1C: Maddox Games,2006
8310,Telltale Games,2005
12590,BigAnt Studios,2008
19500,"Luc Bernard,SilverSphereStudios",2008
11260,Lesta Studio,2007
12360,Bugbear Entertainment,2008
15710,Oddworld Inhabitants,1998
15700,Oddworld Inhabitants,1997
7770,"MicroProse Software, Inc",2001
7660,"MicroProse Software, Inc",1997
7760,"MicroProse Software, Inc",1993
20510,GSC Game World,2008
17330,Crytek,2008
17300,Crytek,2007
7730,"MicroProse Software, Inc",1998
20900,CD PROJEKT RED,2008
16810,Firaxis Games,2008
19830,"Red Storm Entertainment,Ubisoft Montreal",2003
21000,Traveller's Tales,2008
15390,Gearbox Software,2008
3050,Techland,2006
22000,2D BOY,2008
2820,Egosoft,2008
12200,Rockstar New England,2008
19900,Ubisoft Montreal,2008
11240,Meridian4,2008
9480,Volition,2009
17470,EA Redwood Shores,2008
17410,DICE,2009
18500,Hidden Path Entertainment,2008
16450,Monolith,2009
11340,Meridian4,2009
25830,Black Sea Studios Ltd,2005
22180,Frictional Games,2007
13210,"Epic Games, Inc.",2007
27020,Tale of Tales,2008
24740,Criterion Games,2009
11330,IonFX,2009
1930,Reality Pump Studios,2009
7510,Gaijin Entertainment,2009
22200,ACE Team,2009
25900,1C Company,2008
7840,Sky Fallen,2009
