item_id,developer,price,anios
761140,Kotoshiro,4.99,2018
643980,Secret Level SRL,0.0,2018
670290,Poolians.com,0.0,2017
767400,彼岸领域,0.99,2017
772540,Trickjump Games Ltd,3.99,2018
774276,Poppermost Productions,9.99,2018
774277,Poppermost Productions,18.99,2018
774278,Poppermost Productions,29.99,2018
770380,Stegalosaurus Game Development,10.99,2018
768880,Copperpick Studio,3.99,2018
765320,Ghulam Jewel,2.99,2018
773650,Apillo,1.59,2018
774271,Poppermost Productions,14.99,2018
773690,Apillo,1.99,2018
774279,Poppermost Productions,59.99,2018
768060,Tero Lunkka,0.99,2018
775880,FrozenPepper,2.99,2017
775881,FrozenPepper,2.99,2017
653960,Casey Labrack,4.99,2018
777910,Desconocido,4.99,2018
282010,Stainless Games Ltd,9.99,1997
70,Valve,9.99,1998
752360,dev4play,1.99,2016
766850,ETGgames,0.99,2018
754360,The Commander,8.99,2018
716110,"lalalaZero,Urbanoff",0.99,2018
1640,Strategy First,6.99,2006
1630,Strategy First,6.99,2006
2400,Outerlight Ltd.,9.99,2006
759920,Ultraint,7.99,2017
603280,TPM.CO SOFT WORKS,10.99,2017
753110,Wonderbox Games,9.99,2017
753100,Wonderbox Games,9.99,2017
764280,Mad Unicorn Games,1.99,2017
758550,Emanon Studios,0.99,2017
3800,GlyphX Games,9.99,2005
1520,Introversion Software,9.99,2006
2420,Outerlight Ltd.,9.99,2006
4000,Facepunch Studios,9.99,2006
4230,SimBin,39.99,2006
4900,Unknown Worlds Entertainment,0.0,2006
2520,"CINEMAX, s.r.o.",4.99,2006
6200,Sick Puppies,4.99,2003
6210,Deepred,4.99,2006
6300,Funcom,19.99,2006
2990,Bugbear Entertainment,9.99,2006
6220,Bugbear Entertainment,7.49,2005
6510,"CAPCOM Co., Ltd.",14.99,2007
3980,"FireFly Studios,Firaxis Games",9.99,2006
1700,Arkane Studios,4.99,2002
6310,Funcom,9.99,2000
3990,Firaxis Games,4.99,2006
7610,PopTop,9.99,2003
7600,"Firaxis Games,Feral Interactive (Mac)",9.99,2006
7620,PopTop,4.99,1998
2540,Elephant Games,4.99,2007
7650,"MicroProse Software, Inc",4.99,1995
8000,"Crystal Dynamics,Feral Interactive (Mac)",8.99,2007
6550,"CAPCOM Co., Ltd.",19.99,2006
8200,Telltale Games,19.99,2006
2290,id Software,4.99,1996
8210,Telltale Games,19.99,2006
2280,id Software,4.99,1995
9160,id Software,14.99,1995
2300,id Software,4.99,1994
2270,id Software,4.99,1994
9010,Gray Matter Studios,4.99,2001
9040,Ritual Entertainment,2.99,1997
9000,id Software,2.99,1993
3810,Terminal Reality,9.99,2003
9030,Rogue Entertainment,2.99,2007
2310,id Software,4.99,2007
3230,Metamorf,4.99,2007
9310,Relic Entertainment,12.99,2006
7670,"2K Boston,2K Australia",19.99,2007
