user_id,user_url,item_id,funny,recommend,postedAnios
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,1250,0,1,2011
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,22200,0,1,2011
js41637,http://steamcommunity.com/id/js41637,227300,0,1,2013
js41637,http://steamcommunity.com/id/js41637,239030,0,1,2013
evcentric,http://steamcommunity.com/id/evcentric,370360,0,1,2015
evcentric,http://steamcommunity.com/id/evcentric,237930,0,1,2014
evcentric,http://steamcommunity.com/id/evcentric,263360,0,1,2014
evcentric,http://steamcommunity.com/id/evcentric,107200,0,1,2014
evcentric,http://steamcommunity.com/id/evcentric,224500,0,1,2014
doctr,http://steamcommunity.com/id/doctr,250320,0,1,2013
doctr,http://steamcommunity.com/id/doctr,20920,0,1,2012
doctr,http://steamcommunity.com/id/doctr,204100,0,1,2012
doctr,http://steamcommunity.com/id/doctr,224600,0,1,2014
doctr,http://steamcommunity.com/id/doctr,207610,0,1,2012
doctr,http://steamcommunity.com/id/doctr,108710,0,1,2012
maplemage,http://steamcommunity.com/id/maplemage,211420,3,1,2014
maplemage,http://steamcommunity.com/id/maplemage,211820,1,1,2013
maplemage,http://steamcommunity.com/id/maplemage,730,2,1,2014
maplemage,http://steamcommunity.com/id/maplemage,204300,0,1,2013
Wackky,http://steamcommunity.com/id/Wackky,249130,0,1,2014
Wackky,http://steamcommunity.com/id/Wackky,207610,0,1,2012
Wackky,http://steamcommunity.com/id/Wackky,550,1,1,2012
Wackky,http://steamcommunity.com/id/Wackky,65800,0,1,2012
Wackky,http://steamcommunity.com/id/Wackky,220,0,1,2012
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,440,1,1,2014
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,304930,0,1,2014
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,4000,0,1,2013
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,42910,0,1,2012
death-hunter,http://steamcommunity.com/id/death-hunter,232090,0,1,2015
death-hunter,http://steamcommunity.com/id/death-hunter,1250,0,1,2015
death-hunter,http://steamcommunity.com/id/death-hunter,4000,0,1,2014
DJKamBer,http://steamcommunity.com/id/DJKamBer,304930,0,1,2014
DJKamBer,http://steamcommunity.com/id/DJKamBer,224260,0,1,2013
DJKamBer,http://steamcommunity.com/id/DJKamBer,1250,0,1,2013
DJKamBer,http://steamcommunity.com/id/DJKamBer,440,0,1,2012
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,730,0,1,2015
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,440,0,1,2014
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,49520,0,1,2014
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,220200,17,1,2015
PPanther,http://steamcommunity.com/id/PPanther,211820,0,1,2014
devvonst,http://steamcommunity.com/id/devvonst,440,0,1,2014
devvonst,http://steamcommunity.com/id/devvonst,218740,0,1,2014
devvonst,http://steamcommunity.com/id/devvonst,550,0,1,2015
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,238090,0,1,2015
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,277430,0,1,2014
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,8870,0,1,2015
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,368230,0,1,2015
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,33930,0,1,2013
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,219640,2,1,2015
tru_mu_,http://steamcommunity.com/id/tru_mu_,287980,0,1,2015
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,208090,0,1,2015
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,242700,1,1,2014
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,224260,0,1,2014
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,221100,0,1,2015
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,331470,0,1,2014
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,4000,0,1,2014
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,304930,0,1,2014
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,48700,0,1,2014
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,730,0,1,2015
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,113200,0,1,2013
boydeer,http://steamcommunity.com/id/boydeer,440,0,1,2014
VVillis,http://steamcommunity.com/id/VVillis,213670,0,1,2015
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,105600,0,1,2015
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,730,0,1,2015
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,620,0,1,2012
diego9031,http://steamcommunity.com/id/diego9031,223710,1,1,2015
diego9031,http://steamcommunity.com/id/diego9031,299360,0,1,2015
diego9031,http://steamcommunity.com/id/diego9031,322330,0,1,2015
diego9031,http://steamcommunity.com/id/diego9031,1250,0,1,2015
diego9031,http://steamcommunity.com/id/diego9031,12100,0,1,2015
diego9031,http://steamcommunity.com/id/diego9031,204360,0,1,2015
diego9031,http://steamcommunity.com/id/diego9031,440,0,1,2013
diego9031,http://steamcommunity.com/id/diego9031,224260,0,1,2013
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,440,0,1,2012
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,440,0,1,2015
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,1840,0,1,2015
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,440,0,1,2013
Derp-e,http://steamcommunity.com/id/Derp-e,440,0,1,2015
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,248570,0,1,2015
Rivtex,http://steamcommunity.com/id/Rivtex,298630,0,1,2015
UTNerd24,http://steamcommunity.com/id/UTNerd24,440,2,1,2015
UTNerd24,http://steamcommunity.com/id/UTNerd24,376920,2,1,2015
UTNerd24,http://steamcommunity.com/id/UTNerd24,257750,0,1,2015
UTNerd24,http://steamcommunity.com/id/UTNerd24,221910,0,1,2014
UTNerd24,http://steamcommunity.com/id/UTNerd24,2280,0,1,2013
sandwiches1,http://steamcommunity.com/id/sandwiches1,417860,0,0,2015
lucaswerg,http://steamcommunity.com/id/lucaswerg,222880,0,1,2014
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,377160,0,1,2015
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,211820,0,1,2013
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,252490,1,1,2015
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,440,0,1,2014
kube134,http://steamcommunity.com/id/kube134,251990,0,1,2014
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,344760,0,0,2015
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,252950,0,1,2015
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,399730,0,1,2015
gdxsd,http://steamcommunity.com/id/gdxsd,377160,0,1,2015
yookobz,http://steamcommunity.com/id/yookobz,219150,0,1,2013
yookobz,http://steamcommunity.com/id/yookobz,277430,0,1,2014
Posiblydead,http://steamcommunity.com/id/Posiblydead,239820,0,1,2014
Posiblydead,http://steamcommunity.com/id/Posiblydead,17410,0,1,2012
Posiblydead,http://steamcommunity.com/id/Posiblydead,440,0,1,2015
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,270550,0,1,2015
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,274940,0,1,2015
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,440,0,1,2014
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,730,0,1,2014
sad-commie,http://steamcommunity.com/id/sad-commie,212070,0,1,2014
sad-commie,http://steamcommunity.com/id/sad-commie,264140,0,1,2014
sad-commie,http://steamcommunity.com/id/sad-commie,332800,2,1,2014
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,319630,0,1,2015
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,6020,0,1,2015
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,55230,0,1,2015
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,32430,0,1,2014
76561198010674657,http://steamcommunity.com/profiles/76561198010674657,35450,0,1,2015
Coldaniel,http://steamcommunity.com/id/Coldaniel,440,0,1,2014
Coldaniel,http://steamcommunity.com/id/Coldaniel,351570,0,1,2015
therealmorty,http://steamcommunity.com/id/therealmorty,212680,0,1,2015
therealmorty,http://steamcommunity.com/id/therealmorty,391540,0,1,2015
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,550,0,1,2014
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,440,0,1,2014
possessioniskey,http://steamcommunity.com/id/possessioniskey,440,0,1,2015
possessioniskey,http://steamcommunity.com/id/possessioniskey,113400,0,1,2014
possessioniskey,http://steamcommunity.com/id/possessioniskey,440,0,1,2014
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,200510,0,1,2015
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,730,0,1,2015
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,1250,0,1,2014
76561198094224872,http://steamcommunity.com/profiles/76561198094224872,265610,4,1,2015
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,264200,1,1,2014
Nozomikat,http://steamcommunity.com/id/Nozomikat,417860,3,1,2015
Nozomikat,http://steamcommunity.com/id/Nozomikat,213670,1,1,2014
Nozomikat,http://steamcommunity.com/id/Nozomikat,210770,1,1,2013
Nozomikat,http://steamcommunity.com/id/Nozomikat,351640,12,1,2015
xfluttersx,http://steamcommunity.com/id/xfluttersx,105600,1,1,2012
xfluttersx,http://steamcommunity.com/id/xfluttersx,440,0,1,2014
xfluttersx,http://steamcommunity.com/id/xfluttersx,47870,0,1,2013
xfluttersx,http://steamcommunity.com/id/xfluttersx,730,0,1,2014
xfluttersx,http://steamcommunity.com/id/xfluttersx,253710,0,0,2014
76561198056290589,http://steamcommunity.com/profiles/76561198056290589,339280,3,1,2015
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,203290,0,1,2013
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,440,1,1,2015
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,233150,0,1,2014
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,550,0,1,2013
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,730,1,1,2015
Hirukaz,http://steamcommunity.com/id/Hirukaz,211820,0,1,2013
StelerForYou,http://steamcommunity.com/id/StelerForYou,440,0,1,2015
76561198183396245,http://steamcommunity.com/profiles/76561198183396245,224260,0,1,2015
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,317360,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,295550,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,250180,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,227940,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,17520,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,113420,0,1,2014
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,320760,2,1,2015
Xx-Woods,http://steamcommunity.com/id/Xx-Woods,8850,0,1,2015
kevinator23,http://steamcommunity.com/id/kevinator23,233720,0,1,2014
kevinator23,http://steamcommunity.com/id/kevinator23,730,0,1,2015
kevinator23,http://steamcommunity.com/id/kevinator23,220240,0,1,2014
kevinator23,http://steamcommunity.com/id/kevinator23,440,0,1,2012
kevinator23,http://steamcommunity.com/id/kevinator23,4000,0,1,2014
kevinator23,http://steamcommunity.com/id/kevinator23,304930,0,1,2014
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,333950,0,1,2015
CatsWhale,http://steamcommunity.com/id/CatsWhale,107410,0,1,2014
CatsWhale,http://steamcommunity.com/id/CatsWhale,206210,0,1,2014
CatsWhale,http://steamcommunity.com/id/CatsWhale,221100,0,1,2015
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,730,0,1,2015
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,440,0,1,2015
mimimomoma,http://steamcommunity.com/id/mimimomoma,209870,0,1,2014
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,440,0,1,2015
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,730,0,1,2015
Bluezap1,http://steamcommunity.com/id/Bluezap1,362890,0,1,2015
Bluezap1,http://steamcommunity.com/id/Bluezap1,413850,0,1,2015
Bluezap1,http://steamcommunity.com/id/Bluezap1,730,0,1,2015
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,311560,1,1,2015
L1J1N,http://steamcommunity.com/id/L1J1N,322170,0,1,2015
Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,440,0,1,2015
AVATAR715,http://steamcommunity.com/id/AVATAR715,248570,0,1,2014
AVATAR715,http://steamcommunity.com/id/AVATAR715,264140,0,1,2014
AVATAR715,http://steamcommunity.com/id/AVATAR715,4000,0,1,2014
AVATAR715,http://steamcommunity.com/id/AVATAR715,266430,0,1,2015
AVATAR715,http://steamcommunity.com/id/AVATAR715,316010,0,1,2015
AVATAR715,http://steamcommunity.com/id/AVATAR715,249570,0,1,2014
AVATAR715,http://steamcommunity.com/id/AVATAR715,240,0,1,2014
YieuwMage,http://steamcommunity.com/id/YieuwMage,304930,0,1,2015
76561198078752187,http://steamcommunity.com/profiles/76561198078752187,440,0,1,2014
76561198211054671,http://steamcommunity.com/profiles/76561198211054671,264200,0,1,2015
76561197994493402,http://steamcommunity.com/profiles/76561197994493402,440,0,1,2014
