item_id,genres,anios
282010,"'Action', 'Indie', 'Racing'",1997
70,'Action',1998
1640,'Strategy',2006
1630,'Strategy',2006
2400,"'Action', 'Indie', 'RPG'",2006
3800,'Action',2005
1520,"'Indie', 'Strategy'",2006
2420,"'Action', 'Indie', 'RPG'",2006
4000,"'Indie', 'Simulation'",2006
4230,'Racing',2006
4900,"'Casual', 'Indie'",2006
2520,"'Casual', 'Indie'",2006
6200,'Strategy',2003
6210,'Strategy',2006
6300,"'Adventure', 'RPG'",2006
2990,'Racing',2006
6220,'Racing',2005
6510,"'Action', 'Adventure'",2007
3980,'Strategy',2006
1700,'RPG',2002
6310,"'Action', 'Adventure', 'RPG'",2000
3990,'Strategy',2006
7610,'Strategy',2003
7600,'Strategy',2006
7620,'Strategy',1998
2540,"'Casual', 'Indie'",2007
7650,'Strategy',1995
8000,"'Action', 'Adventure'",2007
6550,'Action',2006
8200,"'Action', 'Adventure'",2006
2290,'Action',1996
2570,"'Indie', 'RPG'",2007
8210,"'Action', 'Adventure'",2006
2280,'Action',1995
9160,'Action',1995
2300,'Action',1994
2270,'Action',1994
9010,'Action',2001
9040,'Action',1997
9000,'Action',1993
3810,'Action',2003
9030,'Action',2007
2310,'Action',2007
3230,'Strategy',2007
9310,'Strategy',2006
7670,"'Action', 'RPG'",2007
4570,'Strategy',2006
4580,'Strategy',2006
4760,'Strategy',2004
4770,'Strategy',2006
50970,'Casual',2007
12170,'Action',1998
12180,'Action',1999
12130,'Action',2004
12160,'Racing',2003
12150,'Action',2003
7000,"'Action', 'Adventure'",2006
12140,'Action',2001
17480,'Strategy',2008
12500,'Casual',2007
12310,"'RPG', 'Casual', 'Adventure'",2007
12510,'Strategy',2007
12530,"'Action', 'Adventure', 'Strategy'",2007
12520,'Racing',2007
8100,'Action',2008
2780,'Action',2007
9730,'Simulation',2006
9710,'Action',2006
9800,"'Action', 'Adventure'",2007
9760,'Action',2006
2700,"'Simulation', 'Strategy'",2006
2710,'Action',2005
13200,'Action',2003
13250,'Action',1998
13000,"'Casual', 'Indie'",2008
13560,'Action',2003
13520,'Action',2004
13240,'Action',2000
13540,'Action',2006
15210,'Simulation',2005
16180,"'Casual', 'Simulation'",2008
3520,'Casual',2008
15970,'Casual',2008
15950,'Casual',2008
15960,'Casual',2008
15900,'Casual',2008
15910,'Casual',2005
15930,'Casual',2007
15160,'Simulation',2007
15920,'Casual',2005
15080,"'Action', 'Adventure'",2007
15200,'Simulation',2007
15320,'Simulation',2006
15240,'Simulation',2008
8310,'Adventure',2005
12600,'Racing',2005
8320,'Adventure',2006
12590,'Racing',2008
12580,'Desconocido',2008
12560,'Simulation',2007
12570,'Desconocido',2008
12540,'Casual',2007
11050,'Adventure',2008
11040,"'Adventure', 'RPG'",2008
19500,"'Adventure', 'Indie'",2008
11260,"'Simulation', 'Strategy'",2007
19200,"'Action', 'Indie'",2008
12360,'Racing',2008
15710,'Adventure',1998
15700,'Adventure',1997
8660,'Racing',2008
7770,'Strategy',2001
7660,'Strategy',1997
7760,'Strategy',1993
20510,"'Action', 'RPG'",2008
17330,'Action',2008
17300,'Action',2007
7730,'Strategy',1998
20900,"'Action', 'RPG'",2008
1530,'Indie',2008
8690,'Racing',2008
17120,"'Strategy', 'Simulation'",2008
16810,'Strategy',2008
19830,'Action',2003
21000,"'Action', 'Adventure'",2008
4460,"'Simulation', 'Strategy'",2008
17140,"'RPG', 'Strategy'",2008
15390,'Action',2008
21300,"'Indie', 'Casual'",2008
3050,'Racing',2006
15380,'Strategy',2006
19800,'Action',2005
15370,'Strategy',2007
19930,'Strategy',2008
19810,'Action',2002
3540,'Casual',2008
22000,'Indie',2008
2820,"'Action', 'Simulation', 'Strategy'",2008
1230,'Action',2008
18300,"'Casual', 'Indie'",2008
